Body Regions|A01
Cartilage, Articular|A02.165.407.150,A02.835.583.192
Costal Cartilage|A02.165.407.325
Nasal Cartilages|A02.165.407.550,A04.531.413
Fascia|A02.340,A10.165.425
Fascia Lata|A02.340.424,A10.165.425.500
Tenon Capsule|A02.340.800,A09.371.839,A10.165.425.750
Ligaments|A02.513,A10.165.669
Broad Ligament|A02.513.170,A05.360.319.114.170,A10.165.669.170
Ligaments, Articular|A02.513.514,A02.835.583.512,A10.165.669.514
Anterior Cruciate Ligament|A02.513.514.100,A02.835.583.512.100,A10.165.669.514.100
Collateral Ligaments|A02.513.514.162,A02.835.583.512.162,A10.165.669.514.162
Collateral Ligament, Ulnar|A02.513.514.162.250,A02.835.583.512.162.250,A10.165.669.514.162.250
Lateral Ligament, Ankle|A02.513.514.162.500,A02.835.583.512.162.500,A10.165.669.514.162.500
Medial Collateral Ligament, Knee|A02.513.514.162.600,A02.835.583.512.162.600,A10.165.669.514.162.600
Ligamentum Flavum|A02.513.514.287,A02.835.583.512.287,A10.165.669.514.287
Longitudinal Ligaments|A02.513.514.350,A02.835.583.512.350,A10.165.669.514.350
Patellar Ligament|A02.513.514.475,A02.835.583.512.475,A02.880.438,A10.165.669.514.475
Posterior Cruciate Ligament|A02.513.514.600,A02.835.583.512.600,A10.165.669.514.600
Round Ligament of Femur|A02.513.514.800,A02.513.901.500,A02.835.583.411.500,A02.835.583.512.950,A10.165.669.514.800,A10.165.669.901.500
Round Ligaments|A02.513.901,A10.165.669.901
Round Ligament of Liver|A02.513.901.750,A03.620.575,A10.165.669.901.750
Round Ligament of Uterus|A02.513.901.875,A05.360.319.114.815,A10.165.669.901.875
Muscles|A02.633,A10.690
Muscle, Skeletal|A02.633.567,A10.690.552.500
Abdominal Muscles|A02.633.567.050
Abdominal Oblique Muscles|A02.633.567.050.375
Rectus Abdominis|A02.633.567.050.800
Back Muscles|A02.633.567.175
Intermediate Back Muscles|A02.633.567.175.500
Paraspinal Muscles|A02.633.567.175.750
Superficial Back Muscles|A02.633.567.175.875
Deltoid Muscle|A02.633.567.300
Facial Muscles|A02.633.567.400,A14.363
Gracilis Muscle|A02.633.567.425
Hamstring Muscles|A02.633.567.450,A10.690.552.500.250
Laryngeal Muscles|A02.633.567.500,A04.329.604
Masticatory Muscles|A02.633.567.600,A14.530
Masseter Muscle|A02.633.567.600.500,A14.530.630
Pterygoid Muscles|A02.633.567.600.700,A14.530.790
Temporal Muscle|A02.633.567.600.850,A14.530.940
Neck Muscles|A02.633.567.650
Oculomotor Muscles|A02.633.567.700
Palatal Muscles|A02.633.567.750,A14.549.617.623
Pectoralis Muscles|A02.633.567.775
Pharyngeal Muscles|A02.633.567.800,A04.623.617,A14.724.617
Esophageal Sphincter, Upper|A02.633.567.800.360,A03.556.875.500.360,A04.623.617.360,A14.724.617.360
Velopharyngeal Sphincter|A02.633.567.800.680,A04.623.617.680,A14.724.617.680
Psoas Muscles|A02.633.567.825
Quadriceps Muscle|A02.633.567.850
Respiratory Muscles|A02.633.567.900
Intercostal Muscles|A02.633.567.900.500
Rotator Cuff|A02.633.567.912,A02.880.700
Stapedius|A02.633.567.950,A09.246.397.727
Tensor Tympani|A02.633.567.975,A09.246.397.749
Muscle, Smooth|A02.633.570,A10.690.467
Esophageal Sphincter, Lower|A02.633.570.210,A03.556.875.500.414.350,A03.556.875.875.330.350
Muscle, Smooth, Vascular|A02.633.570.491,A07.015.733.500,A10.690.467.491
Myometrium|A02.633.570.500,A05.360.319.679.690,A10.690.467.500
Myocardium|A02.633.580,A07.541.704,A10.690.552.750
Papillary Muscles|A02.633.580.680,A07.541.510.619,A07.541.704.750
Myotendinous Junction|A02.734
Skeleton|A02.835
Bone and Bones|A02.835.232,A10.165.265
Bone-Implant Interface|A02.835.232.022,A10.165.265.183,E07.695.125
Bones of Lower Extremity|A02.835.232.043
Femur|A02.835.232.043.150
Femur Head|A02.835.232.043.150.343
Femur Neck|A02.835.232.043.150.510
Foot Bones|A02.835.232.043.300
Metatarsal Bones|A02.835.232.043.300.492
Tarsal Bones|A02.835.232.043.300.710
Calcaneus|A02.835.232.043.300.710.300
Talus|A02.835.232.043.300.710.780
Toe Phalanges|A02.835.232.043.300.800
Leg Bones|A02.835.232.043.650
Fibula|A02.835.232.043.650.321
Patella|A02.835.232.043.650.624,A02.835.232.730.500
Tibia|A02.835.232.043.650.883
Pelvic Bones|A02.835.232.043.825
Acetabulum|A02.835.232.043.825.108
Ilium|A02.835.232.043.825.434
Ischium|A02.835.232.043.825.548
Pubic Bone|A02.835.232.043.825.781
Bones of Upper Extremity|A02.835.232.087
Arm Bones|A02.835.232.087.090
Humerus|A02.835.232.087.090.400
Humeral Head|A02.835.232.087.090.400.400
Radius|A02.835.232.087.090.700
Ulna|A02.835.232.087.090.850
Olecranon Process|A02.835.232.087.090.850.600
Clavicle|A02.835.232.087.227
Hand Bones|A02.835.232.087.319
Carpal Bones|A02.835.232.087.319.150
Capitate Bone|A02.835.232.087.319.150.150
Hamate Bone|A02.835.232.087.319.150.400
Lunate Bone|A02.835.232.087.319.150.500
Pisiform Bone|A02.835.232.087.319.150.600
Scaphoid Bone|A02.835.232.087.319.150.750
Trapezium Bone|A02.835.232.087.319.150.800
Trapezoid Bone|A02.835.232.087.319.150.805
Triquetrum Bone|A02.835.232.087.319.150.831
Finger Phalanges|A02.835.232.087.319.350
Metacarpal Bones|A02.835.232.087.319.550
Scapula|A02.835.232.087.783
Acromion|A02.835.232.087.783.261
Coracoid Process|A02.835.232.087.783.356
Glenoid Cavity|A02.835.232.087.783.450
Diaphyses|A02.835.232.169
Epiphyses|A02.835.232.251
Growth Plate|A02.835.232.251.352
Hyoid Bone|A02.835.232.409
Rib Cage|A02.835.232.570
Ribs|A02.835.232.570.500
Cervical Rib|A02.835.232.570.500.150
Sternum|A02.835.232.570.750
Manubrium|A02.835.232.570.750.442
Xiphoid Bone|A02.835.232.570.750.825
Sesamoid Bones|A02.835.232.730
Skull|A02.835.232.781
Cranial Fontanelles|A02.835.232.781.175
Cranial Sutures|A02.835.232.781.200
Ethmoid Bone|A02.835.232.781.292
Facial Bones|A02.835.232.781.324
Jaw|A02.835.232.781.324.502,A14.521
Alveolar Process|A02.835.232.781.324.502.125,A14.521.125,A14.549.167.646.094
Tooth Socket|A02.835.232.781.324.502.125.800,A14.521.125.800,A14.549.167.646.094.800
Dental Arch|A02.835.232.781.324.502.320,A14.521.320
Mandible|A02.835.232.781.324.502.632,A14.521.632
Mandibular Canal|A02.835.232.781.324.502.632.365
Mandibular Condyle|A02.835.232.781.324.502.632.600,A14.521.632.600
Mental Foramen|A02.835.232.781.324.502.632.800,A14.521.632.800
Maxilla|A02.835.232.781.324.502.645,A14.521.645
Palate, Hard|A02.835.232.781.324.502.660,A14.521.658.660,A14.549.617.660
Nasal Bone|A02.835.232.781.324.665,A04.531.378
Orbit|A02.835.232.781.324.690
Turbinates|A02.835.232.781.324.948,A04.531.898
Vomer|A02.835.232.781.324.971,A04.531.591.469
Zygoma|A02.835.232.781.324.995
Frontal Bone|A02.835.232.781.375
Occipital Bone|A02.835.232.781.572
Foramen Magnum|A02.835.232.781.572.434
Parietal Bone|A02.835.232.781.651
Pterygopalatine Fossa|A02.835.232.781.670
Sphenoid Bone|A02.835.232.781.802
Sella Turcica|A02.835.232.781.802.662
Temporal Bone|A02.835.232.781.885
Mastoid|A02.835.232.781.885.444
Petrous Bone|A02.835.232.781.885.681
Spine|A02.835.232.834
Cervical Vertebrae|A02.835.232.834.151
Axis, Cervical Vertebra|A02.835.232.834.151.383
Odontoid Process|A02.835.232.834.151.383.668
Cervical Atlas|A02.835.232.834.151.500
Coccyx|A02.835.232.834.229
Lumbar Vertebrae|A02.835.232.834.519
Sacrum|A02.835.232.834.717
Spinal Canal|A02.835.232.834.803
Epidural Space|A02.835.232.834.803.350
Thoracic Vertebrae|A02.835.232.834.892
Vertebral Body|A02.835.232.834.946
Joints|A02.835.583
Acromioclavicular Joint|A02.835.583.032
Atlanto-Axial Joint|A02.835.583.097
Atlanto-Occipital Joint|A02.835.583.101
Bursa, Synovial|A02.835.583.156
Elbow Joint|A02.835.583.290
Foot Joints|A02.835.583.378
Ankle Joint|A02.835.583.378.062
Metatarsophalangeal Joint|A02.835.583.378.531
Tarsal Joints|A02.835.583.378.831
Subtalar Joint|A02.835.583.378.831.780
Toe Joint|A02.835.583.378.900
Hand Joints|A02.835.583.405
Carpal Joints|A02.835.583.405.174
Carpometacarpal Joints|A02.835.583.405.200
Finger Joint|A02.835.583.405.350
Metacarpophalangeal Joint|A02.835.583.405.500
Wrist Joint|A02.835.583.405.930
Hip Joint|A02.835.583.411
Joint Capsule|A02.835.583.443
Synovial Membrane|A02.835.583.443.800
Synovial Fluid|A02.835.583.443.800.800,A12.207.270.847
Knee Joint|A02.835.583.475
Patellofemoral Joint|A02.835.583.475.650
Tibiofemoral Joint|A02.835.583.475.825
Pubic Symphysis|A02.835.583.656
Sacroiliac Joint|A02.835.583.707
Shoulder Joint|A02.835.583.748
Sternoclavicular Joint|A02.835.583.781
Sternocostal Joints|A02.835.583.790
Temporomandibular Joint|A02.835.583.861,A14.907
Temporomandibular Joint Disc|A02.835.583.861.900,A14.907.900
Zygapophyseal Joint|A02.835.583.979
Tendons|A02.880
Achilles Tendon|A02.880.176
Hamstring Tendons|A02.880.307
Digestive System|A03
Biliary Tract|A03.159
Bile Ducts|A03.159.183
Bile Ducts, Extrahepatic|A03.159.183.079
Common Bile Duct|A03.159.183.079.300
Ampulla of Vater|A03.159.183.079.300.950,A03.556.124.684.124.236,A03.556.875.249.160,A03.734.667.500
Sphincter of Oddi|A03.159.183.079.300.950.600,A03.556.124.684.124.236.572,A03.556.875.249.160.572
Cystic Duct|A03.159.183.079.450
Hepatic Duct, Common|A03.159.183.079.600
Bile Ducts, Intrahepatic|A03.159.183.158,A03.620.150
Bile Canaliculi|A03.159.183.158.125,A03.620.150.125
Gallbladder|A03.159.439
Gastrointestinal Tract|A03.556
Intestines|A03.556.124
Intestinal Mucosa|A03.556.124.369,A10.615.550.444
Enterocytes|A03.556.124.369.290,A10.615.550.444.290,A11.436.290
Goblet Cells|A03.556.124.369.320,A04.329.597.320,A04.531.520.320,A04.760.259,A09.371.060.200.500,A09.371.337.168.500,A10.615.550.444.321,A10.615.550.760.520.320,A10.615.550.760.600.320,A11.436.298
Paneth Cells|A03.556.124.369.700,A10.615.550.444.700,A11.436.700
Intestine, Large|A03.556.124.526,A03.556.249.249
Anal Canal|A03.556.124.526.070,A03.556.249.249.070
Cecum|A03.556.124.526.209,A03.556.249.249.209
Appendix|A03.556.124.526.209.290,A03.556.249.249.209.290
Colon|A03.556.124.526.356,A03.556.249.249.356
Colon, Ascending|A03.556.124.526.356.333,A03.556.249.249.356.333
Colon, Descending|A03.556.124.526.356.500,A03.556.249.249.356.500
Colon, Sigmoid|A03.556.124.526.356.668,A03.556.249.249.356.668
Colon, Transverse|A03.556.124.526.356.834,A03.556.249.249.356.834
Rectum|A03.556.124.526.767,A03.556.249.249.767
Intestine, Small|A03.556.124.684
Duodenum|A03.556.124.684.124,A03.556.875.249
Brunner Glands|A03.556.124.684.124.322,A03.556.875.249.322
Ileum|A03.556.124.684.249,A03.556.249.124
Ileocecal Valve|A03.556.124.684.249.400,A03.556.249.124.400
Meckel Diverticulum|A03.556.124.684.249.612,A03.556.249.124.612,C06.198.859,C06.405.205.282.750.750,C16.131.314.556,C23.300.415.750
Jejunum|A03.556.124.684.500,A03.556.249.750
Lower Gastrointestinal Tract|A03.556.249
Dentition|A03.556.500.379,A14.549.167
Salivary Glands|A03.556.500.760,A10.336.779,A14.549.760
Parotid Gland|A03.556.500.760.464,A10.336.779.464,A14.549.760.464
Salivary Ducts|A03.556.500.760.640,A10.336.779.640,A14.549.760.640
Salivary Glands, Minor|A03.556.500.760.650,A10.336.779.650,A14.549.760.650
Sublingual Gland|A03.556.500.760.687,A10.336.779.687,A14.549.760.687
Submandibular Gland|A03.556.500.760.812,A10.336.779.812,A14.549.760.812
von Ebner Glands|A03.556.500.760.906,A10.336.779.906,A14.549.760.906
Tongue|A03.556.500.885,A14.549.885
Lingual Frenum|A03.556.500.885.431,A14.549.885.431
Taste Buds|A03.556.500.885.779,A08.675.650.915.500.800,A08.800.950.500.800,A09.846,A11.671.650.915.500.800,A14.549.885.779
Pharynx|A03.556.750,A04.623,A14.724
Upper Gastrointestinal Tract|A03.556.875
Esophagus|A03.556.875.500
Esophageal Mucosa|A03.556.875.500.180,A10.615.550.146
Esophagogastric Junction|A03.556.875.500.414,A03.556.875.875.330
Stomach|A03.556.875.875
Cardia|A03.556.875.875.163
Gastric Fundus|A03.556.875.875.419
Gastric Mucosa|A03.556.875.875.440,A10.615.550.291
Chief Cells, Gastric|A03.556.875.875.440.150,A10.615.550.291.150,A11.436.150
Enterochromaffin Cells|A03.556.875.875.440.250,A06.224.358,A06.390.021,A10.615.550.291.162,A11.382.625.031,A11.436.294.031,A15.382.250
Gastrin-Secreting Cells|A03.556.875.875.440.300,A06.390.065,A10.615.550.291.300,A11.382.625.055,A11.436.294.055
Parietal Cells, Gastric|A03.556.875.875.440.708,A10.615.550.291.650,A11.436.708
Somatostatin-Secreting Cells|A03.556.875.875.440.854,A03.734.414.793,A06.300.414.793,A06.390.825,A10.615.550.291.825,A11.382.625.950,A11.436.294.950
Gastric Stump|A03.556.875.875.578
Pyloric Antrum|A03.556.875.875.716
Pylorus|A03.556.875.875.799
Liver|A03.620
Pancreas|A03.734
Islets of Langerhans|A03.734.414,A06.300.414
Glucagon-Secreting Cells|A03.734.414.065,A06.300.414.043,A06.390.087,A11.382.625.064,A11.436.294.064
Insulin-Secreting Cells|A03.734.414.131,A06.300.414.087,A06.390.131,A11.382.625.092,A11.436.294.092
Pancreatic Polypeptide-Secreting Cells|A03.734.414.587,A06.300.414.587,A06.390.650,A11.382.625.900,A11.436.294.900
Pancreas, Exocrine|A03.734.540,A10.336.645
Pancreatic Ducts|A03.734.667
Respiratory System|A04
Larynx|A04.329
Glottis|A04.329.364
Vocal Cords|A04.329.364.737
Laryngeal Mucosa|A04.329.597,A04.760.520,A10.615.550.760.520
Lung|A04.411
Bronchi|A04.411.125
Bronchioles|A04.411.125.500
Pulmonary Alveoli|A04.411.715
Alveolar Epithelial Cells|A04.411.715.100,A11.436.081
Blood-Air Barrier|A04.411.715.200,A07.020
Nasal Cavity|A04.531.449
Nasal Mucosa|A04.531.520,A04.760.600,A10.615.550.760.600
Olfactory Mucosa|A04.531.520.573,A04.760.600.640,A09.531.623,A10.615.550.760.600.640
Olfactory Receptor Neurons|A04.531.520.573.580,A04.760.600.640.640,A08.675.650.915.500.540,A08.800.950.500.540,A09.531.623.580,A10.615.550.760.600.640.640,A11.671.650.915.500.540
Nasal Septum|A04.531.591
Paranasal Sinuses|A04.531.621
Ethmoid Sinus|A04.531.621.267
Frontal Sinus|A04.531.621.387
Maxillary Sinus|A04.531.621.578
Sphenoid Sinus|A04.531.621.827
Hypopharynx|A04.623.490,A14.724.490
Pyriform Sinus|A04.623.490.600
Nasopharynx|A04.623.557,A14.724.557
Adenoids|A04.623.557.500,A10.549.100,A14.724.557.500,A15.382.520.604.100
Oropharynx|A04.623.603,A14.724.603
Palatine Tonsil|A04.623.603.925,A10.549.580,A14.724.603.925,A15.382.520.604.580
Pleura|A04.716,A10.615.789.736
Respiratory Mucosa|A04.760,A10.615.550.760
Trachea|A04.889
Urogenital System|A05
Genitalia|A05.360
Genitalia, Female|A05.360.319
Adnexa Uteri|A05.360.319.114
Fallopian Tubes|A05.360.319.114.373,A13.706.500
Ovary|A05.360.319.114.630,A05.360.576.497,A06.300.312.497
Corpus Luteum|A05.360.319.114.630.278,A06.300.312.497.278
Luteal Cells|A05.360.319.114.630.278.400,A06.300.312.497.278.400,A11.382.921,A11.436.566
Ovarian Follicle|A05.360.319.114.630.535,A06.300.312.497.535
Follicular Fluid|A05.360.319.114.630.535.150,A06.300.312.497.535.150,A12.207.270.340
Granulosa Cells|A05.360.319.114.630.535.200,A06.300.312.497.535.300,A11.382.812,A11.436.329
Cumulus Cells|A05.360.319.114.630.535.200.500,A06.300.312.497.535.300.500,A11.382.812.500,A11.436.329.500
Theca Cells|A05.360.319.114.630.535.400,A06.300.312.497.535.600,A11.329.850
Uterus|A05.360.319.679
Cervix Uteri|A05.360.319.679.256
Endometrium|A05.360.319.679.490
Decidua|A05.360.319.679.490.373,A16.710.289
Deciduoma|A05.360.319.679.490.373.500,A16.710.289.500
Vagina|A05.360.319.779
Hymen|A05.360.319.779.479,A10.615.550.368
Vulva|A05.360.319.887
Bartholin's Glands|A05.360.319.887.220,A10.336.095
Clitoris|A05.360.319.887.436
Genitalia, Male|A05.360.444
Bulbourethral Glands|A05.360.444.123,A10.336.197
Ejaculatory Ducts|A05.360.444.251
Epididymis|A05.360.444.371
Penis|A05.360.444.492
Foreskin|A05.360.444.492.362
Urethra|A05.360.444.492.726,A05.810.876
Prostate|A05.360.444.575,A10.336.707
Scrotum|A05.360.444.661
Seminal Vesicles|A05.360.444.713
Spermatic Cord|A05.360.444.777
Testis|A05.360.444.849,A05.360.576.782,A06.300.312.782
Leydig Cells|A05.360.444.849.513,A06.300.312.782.513,A11.382.906,A11.436.513
Rete Testis|A05.360.444.849.600
Seminiferous Tubules|A05.360.444.849.700
Blood-Testis Barrier|A05.360.444.849.700.349,A07.045
Seminiferous Epithelium|A05.360.444.849.700.700,A10.272.700
Sertoli Cells|A05.360.444.849.789,A11.382.952,A11.436.837
Vas Deferens|A05.360.444.930
Germ Cells|A05.360.490,A11.497
Ovum|A05.360.490.690,A11.497.497,A16.690
Oocytes|A05.360.490.690.680,A11.497.497.600
Polar Bodies|A05.360.490.690.680.500,A11.497.497.600.500
Oogonia|A05.360.490.690.700,A11.497.497.650
Zona Pellucida|A05.360.490.690.950,A11.284.295.310.990,A11.497.497.900,A16.690.900
Zygote|A05.360.490.690.970,A11.497.497.950,A16.950
Spermatozoa|A05.360.490.890,A11.497.760
Sperm Head|A05.360.490.890.820,A11.497.760.400
Acrosome|A05.360.490.890.820.100,A11.284.430.214.190.875.190.550.040,A11.497.760.400.100
Sperm Midpiece|A05.360.490.890.830,A11.497.760.450
Sperm Tail|A05.360.490.890.840,A11.284.180.290.835,A11.497.760.500
Spermatids|A05.360.490.890.860,A11.497.760.600
Spermatocytes|A05.360.490.890.880,A11.497.760.700
Spermatogonia|A05.360.490.890.900,A11.497.760.800
Gonads|A05.360.576,A06.300.312
Urinary Tract|A05.810
Kidney|A05.810.453
Kidney Cortex|A05.810.453.324
Kidney Glomerulus|A05.810.453.324.359,A05.810.453.736.520
Glomerular Filtration Barrier|A05.810.453.324.359.372,A05.810.453.736.520.372,A07.500
Glomerular Basement Membrane|A05.810.453.324.359.372.400,A05.810.453.736.520.224,A10.615.179.625,A11.284.295.310.279
Podocytes|A05.810.453.324.359.372.650,A05.810.453.736.520.720,A11.436.720
Juxtaglomerular Apparatus|A05.810.453.324.359.520,A05.810.453.736.520.520
Mesangial Cells|A05.810.453.324.359.620,A05.810.453.736.520.620,A11.329.228.950
Glomerular Mesangium|A05.810.453.324.359.620.500,A05.810.453.736.520.620.500
Kidney Medulla|A05.810.453.466
Kidney Pelvis|A05.810.453.537
Kidney Calices|A05.810.453.537.503
Nephrons|A05.810.453.736
Kidney Tubules|A05.810.453.736.560
Bowman Capsule|A05.810.453.736.560.254
Kidney Tubules, Collecting|A05.810.453.736.560.510
Kidney Tubules, Distal|A05.810.453.736.560.540
Kidney Tubules, Proximal|A05.810.453.736.560.570
Loop of Henle|A05.810.453.736.560.610
Ureter|A05.810.776
Urinary Bladder|A05.810.890
Endocrine System|A06
Chromaffin System|A06.224
Chromaffin Cells|A06.224.161,A11.299
Chromaffin Granules|A06.224.161.500,A11.284.430.214.190.500.207,A11.284.430.214.190.875.190.190.207
Enterochromaffin-like Cells|A06.224.365,A06.390.043,A11.382.625.047,A11.436.294.047
Para-Aortic Bodies|A06.224.636
Paraganglia, Chromaffin|A06.224.736
Endocrine Glands|A06.300
Adrenal Glands|A06.300.071
Adrenal Cortex|A06.300.071.140
Zona Fasciculata|A06.300.071.140.950
Zona Glomerulosa|A06.300.071.140.960
Zona Reticularis|A06.300.071.140.970
Adrenal Medulla|A06.300.071.265
Sympathoadrenal System|A06.300.071.265.500,A06.688.866,A08.713.866,A08.800.050.800.850
Parathyroid Glands|A06.300.560
Pineal Gland|A06.300.635,A06.688.733,A08.186.211.180.200.680,A08.186.211.200.317.200.620,A08.713.733
Pituitary-Adrenal System|A06.300.691
Pituitary Gland|A06.300.747,A06.688.357.750,A08.186.211.180.497.352.435.500,A08.186.211.200.317.357.352.435.500,A08.713.357.750
Pituitary Gland, Anterior|A06.300.747.500,A06.688.357.750.500,A08.186.211.180.497.352.435.500.500,A08.186.211.200.317.357.352.435.500.500,A08.713.357.750.500
Corticotrophs|A06.300.747.500.500,A06.688.357.750.500.500,A08.186.211.180.497.352.435.500.500.500,A08.186.211.200.317.357.352.435.500.500.500,A08.713.357.750.500.500,A11.382.500,A11.436.267
Gonadotrophs|A06.300.747.500.750,A06.688.357.750.500.750,A08.186.211.180.497.352.435.500.500.750,A08.186.211.200.317.357.352.435.500.500.750,A08.713.357.750.500.750,A11.382.750,A11.436.319
Lactotrophs|A06.300.747.500.812,A06.688.357.750.500.812,A08.186.211.180.497.352.435.500.500.812,A08.186.211.200.317.357.352.435.500.500.812,A08.713.357.750.500.812,A11.382.875,A11.436.507
Somatotrophs|A06.300.747.500.937,A06.688.357.750.500.937,A08.186.211.180.497.352.435.500.500.937,A08.186.211.200.317.357.352.435.500.500.937,A08.713.357.750.500.937,A11.382.968,A11.436.896
Thyrotrophs|A06.300.747.500.968,A06.688.357.750.500.968,A08.186.211.180.497.352.435.500.500.968,A08.186.211.200.317.357.352.435.500.500.968,A08.713.357.750.500.968,A11.382.984,A11.436.925
Pituitary Gland, Intermediate|A06.300.747.750,A06.688.357.750.750,A08.186.211.180.497.352.435.500.750,A08.186.211.200.317.357.352.435.500.750,A08.713.357.750.750
Melanotrophs|A06.300.747.750.500,A06.688.357.750.750.500,A08.186.211.180.497.352.435.500.750.500,A08.186.211.200.317.357.352.435.500.750.500,A08.713.357.750.750.500,A11.382.937,A11.436.636
Pituitary Gland, Posterior|A06.300.747.875,A06.688.178.875,A06.688.357.750.875,A08.186.211.180.497.352.435.500.875,A08.186.211.200.317.357.352.435.500.875,A08.713.049.875,A08.713.357.750.875
Thyroid Gland|A06.300.900
Enteroendocrine Cells|A06.390,A11.382.625,A11.436.294
Neurosecretory Systems|A06.688,A08.713
Circumventricular Organs|A06.688.178,A08.713.049
